week,week_end,Rt_mean,Rt_lo,Rt_hi
0,2019-10-05,1.469410772750812,1.0475649243834464,1.9200066718190016
1,2019-10-12,1.4611246482921922,1.0438570793486757,1.8997358236914625
2,2019-10-19,1.454368194464386,1.0437215819689136,1.8780566931612956
3,2019-10-26,1.4468175917016284,1.0444172257028594,1.8627958050526945
4,2019-11-02,1.4375627852070447,1.04004104768649,1.8491935432367288
5,2019-11-09,1.4308221830193377,1.0315173950703451,1.8386892366443908
6,2019-11-16,1.4238657826654149,1.0321024571209276,1.8265112649105415
7,2019-11-23,1.4191604259650843,1.0284031937672475,1.8159384920301607
8,2019-11-30,1.4130151268773918,1.0236970505177543,1.8086377600985721
9,2019-12-07,1.404552581691371,1.021146914773581,1.8013502718398318
10,2019-12-14,1.3961226397178326,1.0157182181515516,1.7943105927083256
11,2019-12-21,1.3897158025806755,1.0102435971967771,1.78844973460906
12,2019-12-28,1.3829538923338456,1.0057427013920084,1.7819683450804558
13,2020-01-04,1.376077645226939,0.9983039550282681,1.7782033608997794
14,2020-01-11,1.3693362436247134,0.9918207717360132,1.7725999095275158
15,2020-01-18,1.3629247060739602,0.9847594864813057,1.767576747205752
16,2020-01-25,1.3562237390946965,0.9771308451804506,1.7655072510800633
17,2020-02-01,1.3521384887369572,0.9685059862473498,1.7627038058125488
18,2020-02-08,1.3473010373072427,0.9588274702710017,1.7639978653946484
19,2020-02-15,1.3419580261557111,0.9484544426554927,1.7607990355032277
20,2020-02-22,1.3350239346173287,0.9379721179133287,1.7669340797681152
21,2020-02-29,1.3293227316982712,0.9284197925820449,1.772467424236992
22,2020-03-07,1.3246639412663757,0.9170502085715622,1.7790689124007621
23,2020-03-14,1.321497888062483,0.9046205218756306,1.7923948061611958
24,2020-03-21,1.3162992053367726,0.8925935052067854,1.8044292785418685
25,2020-03-28,1.316285185047918,0.8831705903508461,1.8183596235082622
26,2020-04-04,1.3178193082183878,0.8739226637974614,1.8307773710652122
27,2020-04-11,1.3172949049647866,0.8651692956832701,1.8451133187017084
28,2020-04-18,1.3154302811843255,0.8591067898575676,1.8571346823032606
29,2020-04-25,1.316060894073154,0.8528234486647719,1.870968724285352
30,2020-05-02,1.3182361173303168,0.8486082997090072,1.8837900117407902
31,2020-05-09,1.3197366449259205,0.8463203702336968,1.89761722754814
32,2020-05-16,1.3250806321680666,0.8530688746490218,1.9026479212185274
33,2020-05-23,1.3325535458653663,0.8576536597653602,1.9166067602953762
34,2020-05-30,1.3382419472693101,0.8647526620458507,1.926435920717093
35,2020-06-06,1.3422746105510766,0.8754375628290438,1.9401281580365937
36,2020-06-13,1.3528332736403235,0.8944253023079103,1.9406611240988894
37,2020-06-20,1.367493808437918,0.9065442223714062,1.9487750526527396
38,2020-06-27,1.3819817123364073,0.9194191540981413,1.9649616236668346
39,2020-07-04,1.39784072084315,0.9321245199210713,1.9800241926866182
40,2020-07-11,1.4151570665619686,0.9480695764619809,1.994542018824627
41,2020-07-18,1.430220832660675,0.9550304568980671,2.024328064510485
42,2020-07-25,1.4460917444150834,0.9704080151832676,2.0522937328976294
43,2020-08-01,1.46250260109671,0.9757049695358108,2.0852329973345456
44,2020-08-08,1.4834467725018528,0.9664723456959339,2.1136730848508396
45,2020-08-15,1.5069787436924729,0.9658799700322691,2.1806090867182775
46,2020-08-22,1.528668920938241,0.968789772489514,2.2616372183533806
47,2020-08-29,1.5587425204542225,0.9530458471960034,2.3427467564209263
48,2020-09-05,1.5796257580541115,0.9389506855143029,2.43149931245009
49,2020-09-12,1.5976748589128948,0.9184924147125746,2.532580582616887
50,2020-09-19,1.6228549370219725,0.8901383187216032,2.6402178319423943
51,2020-09-26,1.6485071092736807,0.8627498879438801,2.7716091412393844
