region,season,t_end,date,Rt_mean,Rt_lo,Rt_hi
CA,2017-2018,38,2018-06-23,0.9653590822534883,0.9192809547202088,1.012548148723445
CA,2017-2018,39,2018-06-30,0.9519840189770311,0.9054417373232584,0.999676342860044
CA,2017-2018,40,2018-07-07,0.8917925387136489,0.8456846746629781,0.9391070035285671
CA,2017-2018,41,2018-07-14,0.9053678653487903,0.8562912265420802,0.9557927326947844
CA,2017-2018,42,2018-07-21,0.9078177442490799,0.8562773325709425,0.9608431107498296
CA,2017-2018,43,2018-07-28,0.9990473307414385,0.942375659863764,1.0573503670467925
CA,2017-2018,44,2018-08-04,0.9800417749917212,0.9238726077593605,1.0378450807449553
CA,2017-2018,45,2018-08-11,1.0070230589394105,0.9495067075986479,1.066206796445811
CA,2017-2018,46,2018-08-18,1.008813622238039,0.9514170329191781,1.0678675249766054
CA,2017-2018,47,2018-08-25,0.9671048315877759,0.9111405702927335,1.0247135040964488
CA,2017-2018,48,2018-09-01,1.0425872234970623,0.9834958994832576,1.1033780800995814
CA,2017-2018,49,2018-09-08,1.1090437175557049,1.0492501648681531,1.1704708243220503
CA,2017-2018,50,2018-09-15,1.2459469676134745,1.1855629708830306,1.3078097226880847
CA,2017-2018,51,2018-09-22,1.0829344837181532,1.0322968713992398,1.13476750582151
CA,2017-2018,52,2018-09-29,1.020990169283417,0.9736695016030666,1.0694178707743678
CA,2018-2019,4,2018-10-27,1.0404743400407843,0.9958411071195828,1.0860722852890328
CA,2018-2019,5,2018-11-03,1.1370874908223825,1.0912836102578043,1.1838197872299476
CA,2018-2019,6,2018-11-10,1.113990309851195,1.0713581380607287,1.1574426057841405
CA,2018-2019,7,2018-11-17,1.0778101455651223,1.0379925580351008,1.1183666578003182
CA,2018-2019,8,2018-11-24,0.9460429647592085,0.910072685963234,0.9827006410695
CA,2018-2019,9,2018-12-01,1.0874824118829587,1.0478508155765147,1.127839350502183
CA,2018-2019,10,2018-12-08,1.0959914742983037,1.0577646661143396,1.1348873430633533
CA,2018-2019,11,2018-12-15,1.2091077722896069,1.1706643819822813,1.248163562577421
CA,2018-2019,12,2018-12-22,1.0359434473388631,1.0034801771955235,1.0689162882748005
CA,2018-2019,13,2018-12-29,0.930744221295724,0.9005026475738025,0.9614782751401104
CA,2018-2019,14,2019-01-05,0.9042836774825294,0.8734352019415508,0.9356600272697614
CA,2018-2019,15,2019-01-12,1.0357295769173478,1.0010630731300665,1.0709779154582861
CA,2018-2019,16,2019-01-19,1.117361617214937,1.0819384808425387,1.1533473756568169
CA,2018-2019,17,2019-01-26,1.0694147498845852,1.0365603832505936,1.1027745462355094
CA,2018-2019,18,2019-02-02,1.0628272952689288,1.031111467287324,1.095016837587525
CA,2018-2019,19,2019-02-09,1.070996904931258,1.0400740899471541,1.1023663873783502
CA,2018-2019,20,2019-02-16,1.103681914832933,1.0733025967663776,1.134479285505206
CA,2018-2019,21,2019-02-23,0.984255528602825,0.9569042476020325,1.0119868450110923
CA,2018-2019,22,2019-03-02,1.0481942088430545,1.01974606640596,1.0770282740602881
CA,2018-2019,23,2019-03-09,1.0169353888567443,0.9895410777052094,1.0446985225560355
CA,2018-2019,24,2019-03-16,1.028637912242516,1.00130517776656,1.056333568817583
CA,2018-2019,25,2019-03-23,0.9718079756746321,0.9456018878006758,0.9983672631199885
CA,2018-2019,26,2019-03-30,0.9161188991236816,0.8903273830257495,0.9422735420906093
CA,2018-2019,27,2019-04-06,0.9179999447936592,0.8910734264055552,0.9453216777897844
CA,2018-2019,28,2019-04-13,0.8762095792341479,0.848804774834439,0.9040437106092212
CA,2018-2019,29,2019-04-20,0.9215932625727812,0.8916448713917621,0.952029428121468
CA,2018-2019,30,2019-04-27,0.8979835535111973,0.8672417984823795,0.9292532469517334
CA,2018-2019,31,2019-05-04,0.8532735420382356,0.8217283912605806,0.8854045278868162
CA,2018-2019,32,2019-05-11,0.8817399493825033,0.8471396089550223,0.9170231336638645
CA,2018-2019,33,2019-05-18,0.8746186671360421,0.8380187748023555,0.9119898536120832
CA,2018-2019,34,2019-05-25,0.9557755446759822,0.9149629145533831,0.9974661903625448
CA,2018-2019,35,2019-06-01,0.9258041012887595,0.884756366091356,0.9677695184106923
CA,2018-2019,36,2019-06-08,0.9481187287744454,0.9050086494345779,0.992217770537683
CA,2018-2019,37,2019-06-15,0.9733531171492289,0.9285309404886085,1.0192169625218432
CA,2018-2019,38,2019-06-22,0.9171114206545681,0.8730443397940879,0.9622482137227801
CA,2018-2019,39,2019-06-29,0.9274046201647315,0.8812124041016904,0.9747602165957157
CA,2018-2019,40,2019-07-06,0.8386719187685219,0.7931576611686005,0.8854380369745962
CA,2018-2019,41,2019-07-13,0.8915323385508562,0.8404801757660176,0.9440684452872031
CA,2018-2019,42,2019-07-20,0.8907840115525183,0.83687131796973,0.9463557985997562
CA,2018-2019,43,2019-07-27,1.0124017894317985,0.9515974787805781,1.0750625038909256
CA,2018-2019,44,2019-08-03,0.9741627747694352,0.9148583133959597,1.0353032860988638
CA,2018-2019,45,2019-08-10,1.0257091185186578,0.9640467772404292,1.0892559130147628
CA,2018-2019,46,2019-08-17,0.9686095722757286,0.9094107836375129,1.0296485920477325
CA,2018-2019,47,2019-08-24,0.9946223701912495,0.9336831565646906,1.0574607596204748
CA,2018-2019,48,2019-08-31,1.0440076946334835,0.981364826993338,1.1085612216776874
CA,2018-2019,49,2019-09-07,1.0738549740368404,1.0115754684789724,1.1379686345691378
CA,2018-2019,50,2019-09-14,1.156769497690779,1.094234756362192,1.221017414972765
CA,2018-2019,51,2019-09-21,1.0578618638617838,1.0020961017582333,1.1151163383561107
CA,2018-2019,52,2019-09-28,1.076772537636743,1.0219818203032691,1.1329737910029811
CA,2019-2020,4,2019-10-26,1.1011435912335419,1.0601243096327542,1.1429305752907792
CA,2019-2020,5,2019-11-02,1.0717260266561952,1.0330908943830819,1.1110604791589063
CA,2019-2020,6,2019-11-09,1.1267939931306552,1.0884601218796282,1.1657820002839827
CA,2019-2020,7,2019-11-16,1.1557385268189393,1.1190697277124115,1.1929902014245477
CA,2019-2020,8,2019-11-23,1.14383168091157,1.1098017535349674,1.1783683273347234
CA,2019-2020,9,2019-11-30,0.9919235259450578,0.9622297750989353,1.0220622151227448
CA,2019-2020,10,2019-12-07,1.0508990982294173,1.0202091298948959,1.082037521642754
CA,2019-2020,11,2019-12-14,1.033897677893461,1.0041724470045903,1.0640504328402896
CA,2019-2020,12,2019-12-21,1.143086175143513,1.1123140754242442,1.1742722949571005
CA,2019-2020,13,2019-12-28,1.0702948360316313,1.0423771328353122,1.0985763360416958
CA,2019-2020,14,2020-01-04,1.0991934006527868,1.0718072211462475,1.1269202516296946
CA,2019-2020,15,2020-01-11,1.1257664927030246,1.0992803379744729,1.1525635562712986
CA,2019-2020,16,2020-01-18,1.1060192501925974,1.0812216281290983,1.131094114393839
CA,2019-2020,17,2020-01-25,1.1187841145653907,1.095023312798362,1.1427964057407947
CA,2019-2020,18,2020-02-01,1.0946362390319069,1.0723704701326786,1.1171276155519378
CA,2019-2020,19,2020-02-08,1.0745282338283446,1.0534084269299808,1.0958547504138367
CA,2019-2020,20,2020-02-15,0.9818071145347727,0.9623097048477774,1.001497352539624
CA,2019-2020,21,2020-02-22,0.9368880012937386,0.917675382720337,0.9562968970555211
CA,2019-2020,22,2020-02-29,0.9283976163590386,0.908663942331563,0.9483403304475501
CA,2019-2020,23,2020-03-07,0.9394397652865795,0.9188665040762906,0.96023763461522
CA,2019-2020,24,2020-03-14,0.9425630465645941,0.9213265645688384,0.9640381341417044
CA,2019-2020,25,2020-03-21,0.8258999369090803,0.805455339791077,0.846597196969531
CA,2019-2020,26,2020-03-28,0.7855135528402264,0.7636673784158886,0.8076635208737702
CA,2019-2020,27,2020-04-04,0.6708442713354655,0.6482001224162537,0.6938717556039935
CA,2019-2020,28,2020-04-11,0.7148733021338707,0.6866027045939221,0.7437062536023887
CA,2019-2020,29,2020-04-18,0.7214067918961563,0.6880840622737499,0.755506388635281
CA,2019-2020,30,2020-04-25,0.7908148969501093,0.7500426146113879,0.8326510775791992
CA,2019-2020,31,2020-05-02,0.8786436350842131,0.8305472181121949,0.9280747142940129
CA,2019-2020,32,2020-05-09,0.9498924392831904,0.8966607867723739,1.004637361761432
CA,2019-2020,33,2020-05-16,0.9914386393427399,0.9356703221736113,1.0487984595416198
CA,2019-2020,34,2020-05-23,0.9843074341940937,0.9284955962607793,1.0417251841465267
CA,2019-2020,35,2020-05-30,0.9742854715202384,0.918324739270576,1.0318779255504733
CA,2019-2020,36,2020-06-06,0.9520630663455785,0.8960450380890561,1.009755540494146
CA,2019-2020,37,2020-06-13,0.9600671916263042,0.9024609476112095,1.01943047384872
CA,2019-2020,38,2020-06-20,1.0380062141956705,0.9768754855497332,1.1009659379295984
CA,2019-2020,39,2020-06-27,1.211746663093789,1.1467638239931348,1.2784951113033907
CA,2019-2020,40,2020-07-04,1.1978360593642623,1.1388829603664399,1.258255843823134
CA,2019-2020,41,2020-07-11,1.1926609603896026,1.138695477438651,1.2478582732654722
CA,2019-2020,42,2020-07-18,1.0601261525687686,1.0133881663649946,1.107903005039777
CA,2019-2020,43,2020-07-25,1.0742410503723716,1.0284794457774362,1.1209847353308682
CA,2019-2020,44,2020-08-01,1.018660797545902,0.9756046787670261,1.0626335857868754
CA,2019-2020,45,2020-08-08,0.9790463982534242,0.9372099631170674,1.0217835369235648
CA,2019-2020,46,2020-08-15,0.9010696710440065,0.8605376904303427,0.9425212828217283
CA,2019-2020,47,2020-08-22,0.837203713846687,0.7961565151528643,0.8792681330413177
CA,2019-2020,48,2020-08-29,0.886906132898851,0.8409047646202755,0.9341152543331582
CA,2019-2020,49,2020-09-05,0.925528593232176,0.8757435729098644,0.976670530476287
CA,2019-2020,50,2020-09-12,0.9979966310787797,0.9443134894414779,1.0531429349852022
CA,2019-2020,51,2020-09-19,0.9982943203599921,0.9445335733452154,1.0535220722543694
CA,2019-2020,52,2020-09-26,1.0222752669567026,0.9678034236954836,1.0782174187229372
CA,2020-2021,4,2020-10-24,1.0951486832685282,1.0473051452803703,1.1440457869365301
CA,2020-2021,5,2020-10-31,1.0315227019668083,0.9870793864014471,1.0769309311760735
CA,2020-2021,6,2020-11-07,1.103705197325861,1.0583870870828096,1.149959995689648
CA,2020-2021,7,2020-11-14,1.106509278554822,1.0632199840370413,1.150650261730349
CA,2020-2021,8,2020-11-21,1.1507307930572983,1.1086619098280288,1.1935721002989634
CA,2020-2021,9,2020-11-28,1.1011683722005317,1.062699510141941,1.1403116284484824
CA,2020-2021,10,2020-12-05,1.1268563327776209,1.089692942810945,1.164634163272323
CA,2020-2021,11,2020-12-12,1.0788552746784743,1.0445213537524007,1.1137366487320624
CA,2020-2021,12,2020-12-19,1.042885521625369,1.0103385881923008,1.0759412131302661
CA,2020-2021,13,2020-12-26,0.9584586696934931,0.9278871668761433,0.989518756676963
CA,2020-2021,14,2021-01-02,0.9261165247442539,0.8954506730558062,0.9572914627273471
CA,2020-2021,15,2021-01-09,0.9576059241611918,0.9252483306254289,0.9905118729272673
CA,2020-2021,16,2021-01-16,0.9698268921006846,0.9365744413023637,1.0036512942241564
CA,2020-2021,17,2021-01-23,0.8999872128882518,0.8674876564865656,0.9330760567749413
CA,2020-2021,18,2021-01-30,0.8377182441833331,0.8047518185486484,0.8713371565263052
CA,2020-2021,19,2021-02-06,0.8549274887107033,0.8186810517340397,0.8919480358689555
CA,2020-2021,20,2021-02-13,0.8916462775769256,0.8517395938668111,0.932453753823457
CA,2020-2021,21,2021-02-20,0.8816787608393429,0.8397580371835126,0.9246061733815141
CA,2020-2021,22,2021-02-27,0.9179872287603552,0.8725454511357676,0.9645662639485214
CA,2020-2021,23,2021-03-06,0.9708636110787667,0.9221551826107789,1.0208079426122503
CA,2020-2021,24,2021-03-13,1.0049664825063878,0.954680373883548,1.0565250659963676
CA,2020-2021,25,2021-03-20,0.9666023276694367,0.9174007393308908,1.0170710089791073
CA,2020-2021,26,2021-03-27,1.0000374002135584,0.9491512895422552,1.0522335264525031
CA,2020-2021,27,2021-04-03,1.015107605878917,0.9638209101455683,1.0677050242022952
CA,2020-2021,28,2021-04-10,1.0378844979066386,0.9863743936255057,1.0906871582348396
CA,2020-2021,29,2021-04-17,1.0847296558660526,1.0329693100999895,1.1377375547859185
CA,2020-2021,30,2021-04-24,1.053667117313781,1.0045954270872606,1.1038924982029097
CA,2020-2021,31,2021-05-01,1.0554026976310604,1.0074926822441874,1.1044099559525435
CA,2020-2021,32,2021-05-08,1.001623633754827,0.9561425808327508,1.0481465903615217
CA,2020-2021,33,2021-05-15,1.0773351799828421,1.0301750186121832,1.125535997920497
CA,2020-2021,34,2021-05-22,1.033544543864907,0.9889705534405081,1.0790872526674642
CA,2020-2021,35,2021-05-29,1.0430383961106136,0.9989519002112333,1.0880634983133022
CA,2020-2021,36,2021-06-05,0.9560645245773182,0.9147104294377617,0.9983200701019247
CA,2020-2021,37,2021-06-12,1.023124816093217,0.97939432450169694,1.06779701984852
CA,2020-2021,38,2021-06-19,0.9992582594689896,0.9565067586176422,1.0429312961165622
CA,2020-2021,39,2021-06-26,1.0782454714198346,1.0337950087070369,1.1236184546365693
CA,2020-2021,40,2021-07-03,1.0408918796616344,0.9987647551865556,1.0838770136697067
CA,2020-2021,41,2021-07-10,1.0604448286763997,1.0187220151378806,1.102993267986615
CA,2020-2021,42,2021-07-17,1.1336411681791172,1.0916781795081265,1.1763844646331523
CA,2020-2021,43,2021-07-24,1.1341927392785307,1.0946650720107662,1.1744116736850203
CA,2020-2021,44,2021-07-31,1.1537950340861092,1.1162593087706656,1.191942799924485
CA,2020-2021,45,2021-08-07,1.1073787458328015,1.0730507195572652,1.142239718182409
CA,2020-2021,46,2021-08-14,1.087773343393158,1.0553773417048757,1.1206522465853694
CA,2020-2021,47,2021-08-21,1.0775916219565718,1.0466235812843712,1.1090048657113152
CA,2020-2021,48,2021-08-28,1.0403855627866503,1.0110314561178197,1.0701538726303368
CA,2020-2021,49,2021-09-04,1.0849732360162332,1.0555552856611705,1.1147898755106376
CA,2020-2021,50,2021-09-11,0.9876272207820214,0.9606451948485314,1.0149777402265212
CA,2020-2021,51,2021-09-18,0.9445031090899895,0.9179620744633087,0.971417116611147
CA,2020-2021,52,2021-09-25,0.8668712969337032,0.8407454671801827,0.8933912916061664
CA,2020-2021,53,2021-10-02,0.9080898016125676,0.8794517348614092,0.9371803058486309
CA,2021-2022,4,2021-10-30,1.0222102538501026,0.9962827181577021,1.0484662080092921
CA,2021-2022,5,2021-11-06,1.0306854348625978,1.004926418175747,1.0567658888835683
CA,2021-2022,6,2021-11-13,1.0233877109148468,0.9980889262524424,1.0489987176595037
CA,2021-2022,7,2021-11-20,1.0128033197994948,0.987913154682298,1.0379988386216503
CA,2021-2022,8,2021-11-27,1.0112007309498574,0.9864805947843446,1.0362225209422722
CA,2021-2022,9,2021-12-04,1.0319991732435598,1.0071564045468278,1.0571404000536044
CA,2021-2022,10,2021-12-11,1.0358661764278738,1.0113489994243532,1.0606728954957612
CA,2021-2022,11,2021-12-18,1.0445564209214122,1.020348266547234,1.0690444464761966
CA,2021-2022,12,2021-12-25,1.1269041452668225,1.1022749225733521,1.1518017126308504
CA,2021-2022,13,2022-01-01,1.3654904626261521,1.33988118840896,1.3913387977882696
CA,2021-2022,14,2022-01-08,1.320201795612822,1.298540798014731,1.3420394820141248
CA,2021-2022,15,2022-01-15,1.084907618797434,1.0677455262834485,1.1022046425162206
CA,2021-2022,16,2022-01-22,0.829644953968155,0.8152240476080582,0.8441905404036419
CA,2021-2022,17,2022-01-29,0.6981993749193544,0.6837383910798217,0.7128095850312411
CA,2021-2022,18,2022-02-05,0.6724966167128413,0.655650869812897,0.6895530647615299
CA,2021-2022,19,2022-02-12,0.7740481339839536,0.7521995219105467,0.7962051730145138
CA,2021-2022,20,2022-02-19,0.8139651807619971,0.7886336128651366,0.8396915938922058
CA,2021-2022,21,2022-02-26,0.8745839763236779,0.8455994526792677,0.9040500973339344
CA,2021-2022,22,2022-03-05,0.9863563211441139,0.9535157344365313,1.019745153496055
CA,2021-2022,23,2022-03-12,1.0533089431368852,1.0191323272250272,1.0880413388147645
CA,2021-2022,24,2022-03-19,1.098251032229003,1.064201667302804,1.1328290846703761
CA,2021-2022,25,2022-03-26,1.07944564712246,1.0471735628080512,1.1122006708583372
CA,2021-2022,26,2022-04-02,1.0653678096844676,1.0344619441511471,1.0967222416218978
CA,2021-2022,27,2022-04-09,1.0536586518033724,1.0238428128562935,1.0838964614561581
CA,2021-2022,28,2022-04-16,1.032557923547288,1.00377392880657,1.061743139148824
CA,2021-2022,29,2022-04-23,1.0761455066094656,1.047202932136818,1.1054771117668674
CA,2021-2022,30,2022-04-30,1.116574548838228,1.0881092558673837,1.1454022660163903
CA,2021-2022,31,2022-05-07,1.1266107403869945,1.0994924951450782,1.1540547560343966
CA,2021-2022,32,2022-05-14,1.1083858428349682,1.0829878269486197,1.1340741395104366
CA,2021-2022,33,2022-05-21,1.1184889660830395,1.0942070386003095,1.1430336668922587
CA,2021-2022,34,2022-05-28,1.0780746505556111,1.0554882256862086,1.1008968664648584
CA,2021-2022,35,2022-06-04,1.0561701936339885,1.0346096972138228,1.0779499441520866
CA,2021-2022,36,2022-06-11,0.9631874823255719,0.9431365756291611,0.9834463631195381
CA,2021-2022,37,2022-06-18,0.9342868100730328,0.9141816019080221,0.9546076645756515
CA,2021-2022,38,2022-06-25,0.9165303474326594,0.8959568024133279,0.9373341845687171
CA,2021-2022,39,2022-07-02,0.9383574852273552,0.9166486734779222,0.9603168280674385
CA,2021-2022,40,2022-07-09,0.9629480903532724,0.9402712264137283,0.9858914017178203
CA,2021-2022,41,2022-07-16,0.9604980683633941,0.9374341845898382,0.9838383393867987
CA,2021-2022,42,2022-07-23,0.9606733166932714,0.9371552379208494,0.9844787909881353
CA,2021-2022,43,2022-07-30,0.9397772903350928,0.9160641616713087,0.9637892112383755
CA,2021-2022,44,2022-08-06,0.9113886273831728,0.8873311141390772,0.9357634400245964
CA,2021-2022,45,2022-08-13,0.9128036568682782,0.887630811390735,0.9383235726747413
CA,2021-2022,46,2022-08-20,0.9559874674386604,0.929067937030828,0.9832860862749221
CA,2021-2022,47,2022-08-27,1.0676886346093208,1.0386045403327107,1.0971687540245159
CA,2021-2022,48,2022-09-03,1.1366253627559226,1.1075372621645445,1.166085262583097
CA,2021-2022,49,2022-09-10,1.0959334309199613,1.0690787700596152,1.1231165742998563
CA,2021-2022,50,2022-09-17,1.0342684654398342,1.0093084934822985,1.0595290664014587
CA,2021-2022,51,2022-09-24,1.0185204021689502,0.9941495832893107,1.0431822268197448
CA,2021-2022,52,2022-10-01,1.0441749662281121,1.019712798862022,1.0689230494976938
CA,2022-2023,4,2022-10-29,1.1819357649711744,1.1681278118931822,1.1958237259864635
CA,2022-2023,5,2022-11-05,1.2026128704504995,1.1897665185617396,1.2155272500429508
CA,2022-2023,6,2022-11-12,1.2277070366941318,1.2158345440247929,1.2396364176139743
CA,2022-2023,7,2022-11-19,1.2265749729172652,1.2158289914744844,1.2373675811225995
CA,2022-2023,8,2022-11-26,1.1955683601189568,1.185957528401892,1.205217441615196
CA,2022-2023,9,2022-12-03,1.1698836830884103,1.1611639038565538,1.1786356302821124
CA,2022-2023,10,2022-12-10,1.0257223740031944,1.0181551508728128,1.03331722721105
CA,2022-2023,11,2022-12-17,0.9395930836734471,0.9324397953727288,0.9467733283376096
CA,2022-2023,12,2022-12-24,0.8645210131034191,0.8574511263209843,0.8716195258919143
CA,2022-2023,13,2022-12-31,0.8861551735643604,0.8784780423900197,0.8938652432742662
CA,2022-2023,14,2023-01-07,0.893011734050815,0.8848429253388747,0.9012175580297679
CA,2022-2023,15,2023-01-14,0.8586870962068011,0.8502286258816868,0.8671868542707593
CA,2022-2023,16,2023-01-21,0.8264886414687342,0.8175599122752186,0.8354651918802258
CA,2022-2023,17,2023-01-28,0.8738923044377453,0.8638298869391635,0.8840121836739673
CA,2022-2023,18,2023-02-04,0.966488746951336,0.955195538215484,0.9778474052496557
CA,2022-2023,19,2023-02-11,1.0693221247082842,1.057243975345051,1.0814679254750577
CA,2022-2023,20,2023-02-18,1.0412466208753552,1.0297071262760216,1.0528495255897068
CA,2022-2023,21,2023-02-25,1.0006019489921634,0.9895089815501987,1.0117558944862333
CA,2022-2023,22,2023-03-04,0.9861367164326151,0.9751277359801499,0.9972066383981188
CA,2022-2023,23,2023-03-11,0.9798168142059033,0.9687691236643249,0.9909262748590247
CA,2022-2023,24,2023-03-18,0.9774203220540661,0.9662771254630729,0.9886265193777819
CA,2022-2023,25,2023-03-25,0.9715486250091483,0.9603159697251774,0.9828456886938516
CA,2022-2023,26,2023-04-01,0.9788078435889491,0.9673751707202194,0.9903067481666223
CA,2022-2023,27,2023-04-08,0.9684428596969987,0.9569528674503603,0.980000471631884
CA,2022-2023,28,2023-04-15,0.9572209340424335,0.9456199831252907,0.9688916339394308
CA,2022-2023,29,2023-04-22,0.9453423767684607,0.9335684216453244,0.9571890916182305
CA,2022-2023,30,2023-04-29,0.9592173004358721,0.9470315131383434,0.9714799086630668
CA,2022-2023,31,2023-05-06,0.9858532370402896,0.9732483297400808,0.9985381230057527
CA,2022-2023,32,2023-05-13,1.011789715544118,0.9989311761125663,1.0247293479893071
CA,2022-2023,33,2023-05-20,1.0219074061093987,1.0090569483860838,1.034838047721514
FL,2021-2022,4,2021-10-30,1.0329043484754767,1.018312519820008,1.047598543429002
FL,2021-2022,5,2021-11-06,1.0786017446620644,1.0639226753080346,1.0933799934004214
FL,2021-2022,6,2021-11-13,1.0746362208017628,1.0605087570937866,1.0888558677767042
FL,2021-2022,7,2021-11-20,1.0817276117290977,1.068037009921846,1.095504195274929
FL,2021-2022,8,2021-11-27,0.9925000680085233,0.9798754884446936,1.0052043361658145
FL,2021-2022,9,2021-12-04,1.0052397222189398,0.9924883346899889,1.018071375543959
FL,2021-2022,10,2021-12-11,1.0127443377891823,0.9999771707897632,1.0255913699820627
FL,2021-2022,11,2021-12-18,1.1390240627979287,1.1255640380248852,1.1525629838086304
FL,2021-2022,12,2021-12-25,1.2327194611356669,1.2195677545660322,1.2459407260360913
FL,2021-2022,13,2022-01-01,1.363699314977606,1.351195931653003,1.3762594869664675
FL,2021-2022,14,2022-01-08,1.161601392972448,1.1516733002803368,1.1715715065817403
FL,2021-2022,15,2022-01-15,0.9568662656773519,0.9484872187698974,0.9652816516942913
FL,2021-2022,16,2022-01-22,0.7520597520803466,0.7444746729479623,0.7596827444681297
FL,2021-2022,17,2022-01-29,0.6796412247000959,0.6713769146879693,0.6879553892964848
FL,2021-2022,18,2022-02-05,0.7314156307121418,0.7211011965083882,0.7418022951180071
FL,2021-2022,19,2022-02-12,0.7992730033256308,0.7867443448551257,0.8118992612632135
FL,2021-2022,20,2022-02-19,0.8994769620751225,0.8846730355943794,0.9144020229074132
FL,2021-2022,21,2022-02-26,0.9572910331550392,0.9412171731242552,0.9734990992533041
FL,2021-2022,22,2022-03-05,0.9840946694567593,0.9674494740247173,1.0008798698645964
FL,2021-2022,23,2022-03-12,0.982887259589211,0.9661227343780758,0.9997939889469108
FL,2021-2022,24,2022-03-19,1.0036026901276351,0.9865198758054448,1.020830109308747
FL,2021-2022,25,2022-03-26,1.0275132141319778,1.0102564386537332,1.0449141043711963
FL,2021-2022,26,2022-04-02,1.0522565329199525,1.0350184672591953,1.0696349905826599
FL,2021-2022,27,2022-04-09,1.0634635791199096,1.0465531157024024,1.0805076931512256
FL,2021-2022,28,2022-04-16,1.1492980162929898,1.1322290572027949,1.1664929074132653
FL,2021-2022,29,2022-04-23,1.1618500726039283,1.1458018414146407,1.1780083648779425
FL,2021-2022,30,2022-04-30,1.14342288104947,1.1286150034563067,1.1583259333435874
FL,2021-2022,31,2022-05-07,1.1238337248945416,1.1100734966302448,1.13767754021855
FL,2021-2022,32,2022-05-14,1.1843399399171812,1.17098730548852,1.1977672256866474
FL,2021-2022,33,2022-05-21,1.2139410995413284,1.2014832780107054,1.2264622858513037
FL,2021-2022,34,2022-05-28,1.2204615208256815,1.2090879815523556,1.2318875680177097
FL,2021-2022,35,2022-06-04,1.1233868763203594,1.11347843144954,1.1333386056117651
FL,2021-2022,36,2022-06-11,0.9978108830558449,0.9889845636842802,1.006675871744984
FL,2021-2022,37,2022-06-18,0.8933538940825068,0.8849949987364804,0.9017515366008051
FL,2021-2022,38,2022-06-25,0.8336143320145096,0.8250905209672789,0.8421813402776636
FL,2021-2022,39,2022-07-02,0.8479292262961619,0.8385467266617164,0.857363202827649
