method,MAE_outbreak,Coverage95_outbreak,RuntimeSec_mean
EpiEstim,0.3869361738949664,0.0380952380952381,0.7845438957214356
NeuralSBI,1.2162952609622297,0.01904761904761905,0.0838284969329834
POMP,0.09217387984869536,0.5714285714285714,3.0280272006988525
