week,mean,lo,hi,sim,method,Rt_true
4,2.724012235767398,2.6185398388280303,2.8315379413976283,0,EpiEstim,1.6314751781809071
5,2.742177202423172,2.6771025231275165,2.8080224598218284,0,EpiEstim,1.6493983988647818
6,1.9557552672114968,1.9221482645746637,1.9896494842100827,0,EpiEstim,1.6626945454732447
7,2.3630784578464845,2.3364044592960034,2.3899017637143816,0,EpiEstim,1.6657161988180091
8,1.6131881654202145,1.5987008907593732,1.6277398826621314,0,EpiEstim,1.6450176956448594
9,2.589439153812902,2.5748837659443327,2.604034999500604,0,EpiEstim,1.5702061046617282
10,2.509912544536098,2.5009083904989726,2.518932655550486,0,EpiEstim,1.389728496679779
11,2.293596594599215,2.2881058948447652,2.2990937837677503,0,EpiEstim,1.0788433534742254
12,1.5625569766975438,1.55953531912894,1.5655815184506308,0,EpiEstim,0.7397400301186442
13,1.0553633672418052,1.053364809477156,1.0573637930681057,0,EpiEstim,0.5136366481182113
14,0.7142242065331278,0.7126227992576933,0.7158273863793748,0,EpiEstim,0.40600839854476306
15,0.4629383905539235,0.4614236100409966,0.4644556191821881,0,EpiEstim,0.36046828311602913
16,0.3519921130169582,0.3500883574050395,0.3539009596434718,0,EpiEstim,0.34037817216479166
17,0.3464443760626771,0.3433542803028931,0.3495481233656826,0,EpiEstim,0.32938421928755185
18,0.338793884901983,0.3337567219322498,0.3438682523107536,0,EpiEstim,0.32106125679391057
19,0.3412450195760103,0.3328347665874112,0.3497587486342272,0,EpiEstim,0.31299800119762544
20,0.3807565009877876,0.3660398701501535,0.3957591146618216,0,EpiEstim,0.30447085182278294
21,0.492638906946669,0.4662699225353441,0.5197229544606438,0,EpiEstim,0.2953377117578595
22,0.1411635473966038,0.1218040939310394,0.1619298722081056,0,EpiEstim,0.28567692937554584
23,0.4045662090869893,0.3261374644987075,0.4913185502357028,0,EpiEstim,0.27562375112462295
24,0.317184919997256,0.2140033335719643,0.4403461056978937,0,EpiEstim,0.2653269762932937
25,0.2873096738720521,0.1313762780521762,0.5032129726707987,0,EpiEstim,0.25492980941109444
26,0.112101632260018,0.0028381676002846,0.4135294080166166,0,EpiEstim,0.244562019858803
27,2.107905370136367,0.053367543410166,7.7758088111124755,0,EpiEstim,0.234338987642738
28,4.9952002266343305,0.1264675201810092,18.426691485216654,0,EpiEstim,0.2243596675001804
29,4.999998771943423,0.1265890088297487,18.444392740417,0,EpiEstim,0.2147075919539961
30,5.0,0.1265890399214493,18.444397270569677,0,EpiEstim,0.2054519924690536
31,5.0,0.1265890399214493,18.444397270569677,0,EpiEstim,0.19664886662836895
32,5.0,0.1265890399214493,18.444397270569677,0,EpiEstim,0.18834258300327553
33,5.0,0.1265890399214493,18.444397270569677,0,EpiEstim,0.18056743585881713
34,5.0,0.1265890399214493,18.444397270569677,0,EpiEstim,0.17334927270413858
